_dataorbit_sync_id,_dataorbit_synced_at,id,company_name,email,entity_id,subsidiary,terms,balance,category,last_modified_date,custom_fields
09b7ab69-b0ad-4826-8072-fc154f160982,2026-03-27 17:33:21,NS-CUST-000001,North Capital 1,finance@client001.example.com,HS-COMP-000001,EMEA,Net 30,0.0,A,2026-03-08 07:43:51,"{""segment"":""Mid-Market""}"
f28215cb-103a-49fe-b31b-6631360ae67c,2026-03-27 17:33:21,NS-CUST-000002,North Retail 2,finance@client002.example.com,HS-COMP-000002,US,Net 60,0.0,C,2026-01-13 15:10:53,"{""segment"":""Enterprise""}"
ee5b01e5-6380-4b11-9a37-54a009a45d9f,2026-03-27 17:33:21,NS-CUST-000003,Bright Labs 3,finance@client003.example.com,HS-COMP-000003,US,Net 60,0.0,B,2025-04-01 22:50:16,"{""segment"":""SMB""}"
749c77e4-b140-4125-99f5-54a7afbf9bbd,2026-03-27 17:33:21,NS-CUST-000004,Nova Retail 4,finance@client004.example.com,HS-COMP-000004,EMEA,Net 60,0.0,C,2025-09-21 08:57:30,"{""segment"":""SMB""}"
4bc2c7c3-015c-4a98-92da-2760f9bd4d30,2026-03-27 17:33:21,NS-CUST-000005,Prime Health 5,finance@client005.example.com,HS-COMP-000005,US,Net 60,0.0,C,2025-05-03 12:28:12,"{""segment"":""SMB""}"
3262b98b-7089-4474-a57c-3c09404ddefb,2026-03-27 17:33:21,NS-CUST-000006,Blue Digital 6,finance@client006.example.com,HS-COMP-000006,EMEA,Net 60,0.0,C,2025-06-09 09:46:32,"{""segment"":""Enterprise""}"
033ae2c9-2f05-4b13-92e7-a4a1e76eae3a,2026-03-27 17:33:21,NS-CUST-000007,Nova Retail 7,finance@client007.example.com,HS-COMP-000007,US,Net 30,0.0,A,2025-08-16 03:29:29,"{""segment"":""SMB""}"
a0cfce19-642d-40c6-b7ed-e0d83f17cea5,2026-03-27 17:33:21,NS-CUST-000008,North Digital 8,finance@client008.example.com,HS-COMP-000008,EMEA,Net 60,0.0,B,2025-12-29 03:51:55,"{""segment"":""Enterprise""}"
9e80d878-910f-4e3d-8016-452e43cb6e63,2026-03-27 17:33:21,NS-CUST-000009,North Retail 9,finance@client009.example.com,HS-COMP-000009,APAC,Net 15,0.0,A,2025-09-20 03:27:26,"{""segment"":""Enterprise""}"
541a1530-715e-4a22-a6f4-0de9bf25c0fd,2026-03-27 17:33:21,NS-CUST-000010,Nova Capital 10,finance@client010.example.com,HS-COMP-000010,EMEA,Net 60,0.0,B,2025-12-30 17:30:22,"{""segment"":""Mid-Market""}"
04240fa7-58e1-4352-b5c7-59c0d299c95f,2026-03-27 17:33:21,NS-CUST-000011,Prime Capital 11,finance@client011.example.com,HS-COMP-000011,US,Net 45,0.0,B,2025-09-28 05:08:17,"{""segment"":""Enterprise""}"
aa60bf64-8bf9-4759-8b84-fa863922ef5e,2026-03-27 17:33:21,NS-CUST-000012,Bright Labs 12,finance@client012.example.com,HS-COMP-000012,APAC,Net 15,0.0,B,2025-10-21 14:39:25,"{""segment"":""SMB""}"
b89ad0f4-56c1-44f5-9bf8-4daa78f900d3,2026-03-27 17:33:21,NS-CUST-000013,North Digital 13,finance@client013.example.com,HS-COMP-000013,EMEA,Net 60,0.0,C,2025-10-12 02:49:27,"{""segment"":""SMB""}"
60157726-4792-4547-9b7b-b3aa8b42d41f,2026-03-27 17:33:21,NS-CUST-000014,Blue Digital 14,finance@client014.example.com,HS-COMP-000014,EMEA,Net 15,0.0,A,2025-05-10 20:56:43,"{""segment"":""SMB""}"
4067d9ca-234a-47cd-b085-11810000b643,2026-03-27 17:33:21,NS-CUST-000015,Blue Labs 15,finance@client015.example.com,HS-COMP-000015,APAC,Net 45,0.0,A,2025-08-30 12:29:10,"{""segment"":""Enterprise""}"
8d7300da-9f3e-4a11-b2aa-5e2ba290022d,2026-03-27 17:33:21,NS-CUST-000016,Nova Retail 16,finance@client016.example.com,HS-COMP-000016,US,Net 15,0.0,C,2026-03-08 22:00:45,"{""segment"":""SMB""}"
88961952-c33c-4f57-b020-a470b0eb0774,2026-03-27 17:33:21,NS-CUST-000017,Prime Health 17,finance@client017.example.com,HS-COMP-000017,US,Net 30,0.0,B,2026-03-26 02:26:41,"{""segment"":""SMB""}"
535a541d-ab22-4198-b894-af0512d48b25,2026-03-27 17:33:21,NS-CUST-000018,North Digital 18,finance@client018.example.com,HS-COMP-000018,EMEA,Net 15,0.0,B,2024-11-06 23:44:49,"{""segment"":""Mid-Market""}"
02afd110-8849-48a2-868d-269da353d7f6,2026-03-27 17:33:21,NS-CUST-000019,Bright Labs 19,finance@client019.example.com,HS-COMP-000019,EMEA,Net 15,0.0,B,2025-08-22 18:54:38,"{""segment"":""SMB""}"
79bf127c-bd30-45be-b8f5-0ea987d9bcae,2026-03-27 17:33:21,NS-CUST-000020,Nova Capital 20,finance@client020.example.com,HS-COMP-000020,APAC,Net 30,0.0,A,2025-11-02 23:16:05,"{""segment"":""Enterprise""}"
d39fc1ed-faa1-4766-90ff-9a7f05f242e5,2026-03-27 17:33:21,NS-CUST-000021,Prime Labs 21,finance@client021.example.com,HS-COMP-000021,APAC,Net 45,0.0,C,2025-11-04 20:48:20,"{""segment"":""Mid-Market""}"
a36cf856-3d38-4a6c-9cd6-ce1f00b7d84e,2026-03-27 17:33:21,NS-CUST-000022,Nova Capital 22,finance@client022.example.com,HS-COMP-000022,APAC,Net 30,0.0,C,2025-12-19 05:42:20,"{""segment"":""Enterprise""}"
bb61b548-9c41-46c6-8ed9-c7e512434e64,2026-03-27 17:33:21,NS-CUST-000023,Blue Labs 23,finance@client023.example.com,HS-COMP-000023,APAC,Net 15,0.0,B,2025-06-27 01:55:58,"{""segment"":""Enterprise""}"
5aa7b564-e65d-477c-8ca0-e44460b30759,2026-03-27 17:33:21,NS-CUST-000024,North Capital 24,finance@client024.example.com,HS-COMP-000024,APAC,Net 15,0.0,B,2025-12-18 22:38:34,"{""segment"":""SMB""}"
bf371026-5ae4-43c9-9b73-c47abbefb318,2026-03-27 17:33:21,NS-CUST-000025,Nova Capital 25,finance@client025.example.com,HS-COMP-000025,US,Net 45,0.0,A,2025-10-08 03:16:10,"{""segment"":""Enterprise""}"
cd3727b3-974d-4669-a605-e0a8f17b0a86,2026-03-27 17:33:21,NS-CUST-000026,Blue Digital 26,finance@client026.example.com,HS-COMP-000026,APAC,Net 45,0.0,A,2026-01-17 03:53:04,"{""segment"":""Mid-Market""}"
4d135a08-421f-406c-8ae9-319fc445138f,2026-03-27 17:33:21,NS-CUST-000027,North Capital 27,finance@client027.example.com,HS-COMP-000027,APAC,Net 15,0.0,A,2026-03-21 05:07:01,"{""segment"":""Mid-Market""}"
a94cabaa-1e66-49b5-a19e-5da302822196,2026-03-27 17:33:21,NS-CUST-000028,Nova Digital 28,finance@client028.example.com,HS-COMP-000028,APAC,Net 45,0.0,C,2025-07-17 22:36:54,"{""segment"":""Enterprise""}"
536977fa-c610-409c-9a8f-244b0d03dc73,2026-03-27 17:33:21,NS-CUST-000029,Bright Capital 29,finance@client029.example.com,HS-COMP-000029,EMEA,Net 15,0.0,A,2025-12-05 00:32:29,"{""segment"":""Mid-Market""}"
13438ad8-17a2-47fe-9c34-346840de0dc7,2026-03-27 17:33:21,NS-CUST-000030,Nova Health 30,finance@client030.example.com,HS-COMP-000030,APAC,Net 60,0.0,A,2026-02-26 20:17:03,"{""segment"":""Mid-Market""}"
9b8225b6-2b06-4cb5-a8ca-5c6f41f1397e,2026-03-27 17:33:21,NS-CUST-000031,Bright Digital 31,finance@client031.example.com,HS-COMP-000031,APAC,Net 15,0.0,B,2025-08-18 02:35:24,"{""segment"":""Mid-Market""}"
db2e2db0-f0ec-4bb5-abb7-2d863a781826,2026-03-27 17:33:21,NS-CUST-000032,North Health 32,finance@client032.example.com,HS-COMP-000032,APAC,Net 15,0.0,A,2026-02-14 05:47:52,"{""segment"":""SMB""}"
56b0c8f0-7f2a-4d42-b36c-832e8b6ae316,2026-03-27 17:33:21,NS-CUST-000033,Bright Digital 33,finance@client033.example.com,HS-COMP-000033,APAC,Net 60,0.0,C,2026-02-14 08:43:06,"{""segment"":""Enterprise""}"
c5d3d658-33f6-4fa3-b2cf-340d0dfad94b,2026-03-27 17:33:21,NS-CUST-000034,North Health 34,finance@client034.example.com,HS-COMP-000034,US,Net 15,0.0,A,2026-01-13 21:29:13,"{""segment"":""Enterprise""}"
875a7277-3fed-4020-b9ad-ae0f7108cd6d,2026-03-27 17:33:21,NS-CUST-000035,North Digital 35,finance@client035.example.com,HS-COMP-000035,EMEA,Net 45,0.0,B,2024-06-30 03:17:32,"{""segment"":""Mid-Market""}"
7d0b1a02-d0ef-4c06-b315-15d4620d1a7a,2026-03-27 17:33:21,NS-CUST-000036,Bright Retail 36,finance@client036.example.com,HS-COMP-000036,APAC,Net 30,0.0,A,2024-08-06 05:03:32,"{""segment"":""Mid-Market""}"
752d4292-2d6c-4ac4-bea5-dbe442f84a42,2026-03-27 17:33:21,NS-CUST-000037,North Retail 37,finance@client037.example.com,HS-COMP-000037,APAC,Net 45,0.0,B,2026-03-26 22:08:07,"{""segment"":""Enterprise""}"
4ae3b451-990f-41de-9d8c-70ea1e229ff9,2026-03-27 17:33:21,NS-CUST-000038,North Health 38,finance@client038.example.com,HS-COMP-000038,EMEA,Net 30,0.0,C,2024-09-02 07:07:55,"{""segment"":""Mid-Market""}"
0b570ff9-e2dc-43c0-b8ec-330ba1aebe99,2026-03-27 17:33:21,NS-CUST-000039,Bright Health 39,finance@client039.example.com,HS-COMP-000039,US,Net 45,0.0,B,2026-03-10 07:40:52,"{""segment"":""SMB""}"
979e6e1e-2b9c-43d4-9178-fe48b62ce3ba,2026-03-27 17:33:21,NS-CUST-000040,Bright Health 40,finance@client040.example.com,HS-COMP-000040,APAC,Net 45,0.0,A,2025-11-05 09:33:58,"{""segment"":""SMB""}"
123228e0-0f47-4159-bbfd-91432d2a26ac,2026-03-27 17:33:21,NS-CUST-000041,North Digital 41,finance@client041.example.com,HS-COMP-000041,EMEA,Net 60,0.0,C,2024-12-31 09:08:52,"{""segment"":""SMB""}"
a3c15419-2f46-4db2-95d2-ad92889375d9,2026-03-27 17:33:21,NS-CUST-000042,Nova Digital 42,finance@client042.example.com,HS-COMP-000042,US,Net 60,0.0,C,2025-11-23 18:29:10,"{""segment"":""Enterprise""}"
