_dataorbit_sync_id,_dataorbit_synced_at,id,name,is_active,address,currency
e788b734-e644-4686-b07f-21afb613e613,2026-03-27 17:37:47,1000001,North Capital 1,True,387 Market St,USD
f1a47b37-482d-40e1-a982-d21fafc2bb6f,2026-03-27 17:37:47,1000002,North Retail 2,True,960 Market St,USD
b3a3da70-6b49-40f4-8506-5f1739ead379,2026-03-27 17:37:47,1000003,Bright Labs 3,True,131 Market St,USD
6e75a95f-070b-4c89-8492-f519d0d3e481,2026-03-27 17:37:47,1000004,Nova Retail 4,True,447 Market St,USD
b677d71c-1f89-4ea6-b7e9-6d343fa7a161,2026-03-27 17:37:47,1000005,Prime Health 5,True,484 Market St,USD
105c9ed1-47b1-4834-ad81-343e94736c49,2026-03-27 17:37:47,1000006,Blue Digital 6,True,741 Market St,USD
89eb0e7d-6e56-4a3e-ba99-9d51c40952d1,2026-03-27 17:37:47,1000007,Nova Retail 7,True,647 Market St,USD
638bba5a-1b5a-4662-a4b6-2f894bb6680b,2026-03-27 17:37:47,1000008,North Digital 8,True,962 Market St,USD
cd9ac899-9181-424e-a2bf-6a55bccb6325,2026-03-27 17:37:47,1000009,North Retail 9,True,269 Market St,USD
02c10297-21c3-4a8f-b528-273e5e163b4a,2026-03-27 17:37:47,1000010,Nova Capital 10,True,684 Market St,USD
207fa269-4ac9-47e6-96c3-2a315b75265d,2026-03-27 17:37:47,1000011,Prime Capital 11,True,720 Market St,USD
c814d52c-9627-459a-88f1-f822dde86a33,2026-03-27 17:37:47,1000012,Bright Labs 12,True,498 Market St,USD
3524e438-b4a9-4f88-963f-e4ac7d0914da,2026-03-27 17:37:47,1000013,North Digital 13,True,291 Market St,USD
358ed9ea-ab3a-4ae7-a89a-0fff6d09b163,2026-03-27 17:37:47,1000014,Blue Digital 14,True,709 Market St,USD
182a1624-cfa6-467d-83d0-c7abe0a094c0,2026-03-27 17:37:47,1000015,Blue Labs 15,True,219 Market St,USD
f9dcbfac-6cb5-4c59-96b9-08b02200da7d,2026-03-27 17:37:47,1000016,Nova Retail 16,True,985 Market St,USD
2246c530-41df-42ff-9e01-0278d5e14ddf,2026-03-27 17:37:47,1000017,Prime Health 17,True,901 Market St,USD
b3365335-1367-45c2-be7e-e49d03cca155,2026-03-27 17:37:47,1000018,North Digital 18,True,869 Market St,USD
