_dataorbit_sync_id,_dataorbit_synced_at,id,customer_id,total,tran_date,apply_list,last_modified_date
b04532dd-ae8d-4cc9-a29b-e7961c2d9cd4,2026-03-27 17:37:47,NS-PAY-0000001,NS-CUST-000002,28181.45,2024-08-31,"[{""invoice_id"":""NS-INV-0000002"",""amount_applied"":28181.45}]",2025-03-29 13:38:58
31951ec7-57b4-4fb6-8f16-68d31be89638,2026-03-27 17:37:47,NS-PAY-0000002,NS-CUST-000003,20185.81,2025-03-20,"[{""invoice_id"":""NS-INV-0000003"",""amount_applied"":20185.81}]",2026-03-17 05:49:05
1071012c-23f2-4eb5-8f1c-bdd02aebc2d2,2026-03-27 17:37:47,NS-PAY-0000003,NS-CUST-000006,29095.57,2025-04-07,"[{""invoice_id"":""NS-INV-0000005"",""amount_applied"":29095.57}]",2025-10-23 16:11:43
6bce32c9-56e3-44e2-9ff8-90191227bf5a,2026-03-27 17:37:47,NS-PAY-0000004,NS-CUST-000013,3979.35,2026-03-11,"[{""invoice_id"":""NS-INV-0000009"",""amount_applied"":3979.35}]",2024-07-14 20:20:14
269ddcfa-65d8-4e6d-bcae-20d04c552da0,2026-03-27 17:37:47,NS-PAY-0000005,NS-CUST-000019,30060.46,2024-12-16,"[{""invoice_id"":""NS-INV-0000010"",""amount_applied"":30060.46}]",2025-09-19 19:59:07
9de3fca9-f6d2-434d-97d9-2cbfb1e09ab0,2026-03-27 17:37:47,NS-PAY-0000006,NS-CUST-000019,110192.84,2024-09-01,"[{""invoice_id"":""NS-INV-0000011"",""amount_applied"":110192.84}]",2024-06-12 13:19:55
7bed949c-9c7e-49b2-8d97-c74f44f03f7f,2026-03-27 17:37:47,NS-PAY-0000007,NS-CUST-000020,44442.04,2026-03-17,"[{""invoice_id"":""NS-INV-0000012"",""amount_applied"":44442.04}]",2024-08-12 17:48:30
acb1940f-548d-4087-9eee-ff679d06c0c8,2026-03-27 17:37:47,NS-PAY-0000008,NS-CUST-000021,39726.28,2025-05-11,"[{""invoice_id"":""NS-INV-0000013"",""amount_applied"":39726.28}]",2025-12-20 07:53:25
b562bc7b-c207-42e1-97f6-92342eb9791e,2026-03-27 17:37:47,NS-PAY-0000009,NS-CUST-000023,28471.13,2025-08-06,"[{""invoice_id"":""NS-INV-0000015"",""amount_applied"":28471.13}]",2024-04-02 01:08:01
b08e5e8e-9a54-40b8-9b99-0023627ece29,2026-03-27 17:37:47,NS-PAY-0000010,NS-CUST-000033,14704.7,2026-01-02,"[{""invoice_id"":""NS-INV-0000020"",""amount_applied"":14704.7}]",2025-07-25 14:19:52
bc8fea5d-53dc-4341-a7b5-051c6a4da5e0,2026-03-27 17:37:47,NS-PAY-0000011,NS-CUST-000043,17445.73,2025-09-22,"[{""invoice_id"":""NS-INV-0000022"",""amount_applied"":17445.73}]",2025-07-11 22:47:47
92d9ac0d-9cf5-49c0-8b36-358fdc560bca,2026-03-27 17:37:47,NS-PAY-0000012,NS-CUST-000043,37474.89,2026-01-25,"[{""invoice_id"":""NS-INV-0000023"",""amount_applied"":37474.89}]",2024-07-01 20:34:23
39e85618-8a37-49f9-b67a-c96014eac428,2026-03-27 17:37:47,NS-PAY-0000013,NS-CUST-000045,101789.01,2025-09-15,"[{""invoice_id"":""NS-INV-0000024"",""amount_applied"":101789.01}]",2025-06-05 12:03:35
cf76cc45-ae27-46b1-862e-ee686fd7c629,2026-03-27 17:37:47,NS-PAY-0000014,NS-CUST-000047,25227.81,2025-02-15,"[{""invoice_id"":""NS-INV-0000027"",""amount_applied"":25227.81}]",2025-10-13 14:51:06
f2c0d253-a450-4b6c-89c3-3f997402baee,2026-03-27 17:37:47,NS-PAY-0000015,NS-CUST-000048,8240.56,2025-06-05,"[{""invoice_id"":""NS-INV-0000028"",""amount_applied"":8240.56}]",2025-04-01 22:21:03
fa9e94bf-c06f-4369-8ef0-b205a25a4d50,2026-03-27 17:37:47,NS-PAY-0000016,NS-CUST-000050,44442.64,2024-08-10,"[{""invoice_id"":""NS-INV-0000029"",""amount_applied"":44442.64}]",2024-10-05 12:07:25
6b07ff5a-1fc9-4ff4-ad5e-da8ec72b007e,2026-03-27 17:37:47,NS-PAY-0000017,NS-CUST-000054,31931.65,2024-11-25,"[{""invoice_id"":""NS-INV-0000030"",""amount_applied"":31931.65}]",2025-03-05 06:40:41
1a987fd8-c8b4-4a5f-a5cc-92390147bae7,2026-03-27 17:37:47,NS-PAY-0000018,NS-CUST-000057,99234.58,2025-02-05,"[{""invoice_id"":""NS-INV-0000031"",""amount_applied"":99234.58}]",2025-11-17 22:52:54
2387beea-e64a-4d8a-952c-10d792cc9fcd,2026-03-27 17:37:47,NS-PAY-0000019,NS-CUST-000058,51369.86,2025-01-25,"[{""invoice_id"":""NS-INV-0000032"",""amount_applied"":51369.86}]",2025-09-28 21:49:33
b147561a-ad83-4e64-8216-ef9aa2de8689,2026-03-27 17:37:47,NS-PAY-0000020,NS-CUST-000058,40021.72,2026-03-02,"[{""invoice_id"":""NS-INV-0000033"",""amount_applied"":40021.72}]",2025-04-09 20:08:36
57179076-741a-47ab-8330-83365ddd2dc7,2026-03-27 17:37:47,NS-PAY-0000021,NS-CUST-000061,108981.81,2025-04-18,"[{""invoice_id"":""NS-INV-0000035"",""amount_applied"":108981.81}]",2026-02-11 04:03:28
72dc3aa4-807a-4584-b7cf-8ed0511e8100,2026-03-27 17:37:47,NS-PAY-0000022,NS-CUST-000062,56343.42,2024-10-21,"[{""invoice_id"":""NS-INV-0000037"",""amount_applied"":56343.42}]",2025-02-26 11:33:03
bfed4490-e4c6-4ee1-a539-fac94c3d5726,2026-03-27 17:37:47,NS-PAY-0000023,NS-CUST-000064,8882.06,2025-01-01,"[{""invoice_id"":""NS-INV-0000039"",""amount_applied"":8882.06}]",2024-11-30 13:23:17
26c1e18e-be03-4dfc-87e7-268d159adb34,2026-03-27 17:37:47,NS-PAY-0000024,NS-CUST-000067,34593.83,2025-06-27,"[{""invoice_id"":""NS-INV-0000041"",""amount_applied"":34593.83}]",2025-11-21 07:11:43
e71c564d-c6ab-4fe4-bf70-298882d21d38,2026-03-27 17:37:47,NS-PAY-0000025,NS-CUST-000070,18047.1,2026-02-23,"[{""invoice_id"":""NS-INV-0000042"",""amount_applied"":18047.1}]",2024-10-26 17:02:10
e083dde1-1714-4bb6-a18e-300c05e32ec9,2026-03-27 17:37:47,NS-PAY-0000026,NS-CUST-000072,20365.38,2025-02-14,"[{""invoice_id"":""NS-INV-0000044"",""amount_applied"":20365.38}]",2025-10-12 05:19:25
70c29ac5-65bf-4606-ac91-9a659c8115c9,2026-03-27 17:37:47,NS-PAY-0000027,NS-CUST-000073,28137.09,2026-05-09,"[{""invoice_id"":""NS-INV-0000045"",""amount_applied"":28137.09}]",2024-11-30 07:31:55
e457719a-975f-440f-95e5-b35fdd0dba5a,2026-03-27 17:37:47,NS-PAY-0000028,NS-CUST-000075,13382.51,2025-07-16,"[{""invoice_id"":""NS-INV-0000046"",""amount_applied"":13382.51}]",2026-01-20 13:54:14
40f0196a-89db-4443-a934-8b35f0f46417,2026-03-27 17:37:47,NS-PAY-0000029,NS-CUST-000086,87122.59,2024-12-22,"[{""invoice_id"":""NS-INV-0000048"",""amount_applied"":87122.59}]",2025-07-14 02:04:20
e48275d2-27a0-4f03-a9ce-e3702909932a,2026-03-27 17:37:47,NS-PAY-0000030,NS-CUST-000087,110454.99,2026-05-09,"[{""invoice_id"":""NS-INV-0000049"",""amount_applied"":110454.99}]",2025-04-23 15:28:24
ae5485f2-dbf0-4f3a-8634-90adb1daa3db,2026-03-27 17:37:47,NS-PAY-0000031,NS-CUST-000088,76962.86,2025-09-06,"[{""invoice_id"":""NS-INV-0000050"",""amount_applied"":76962.86}]",2026-03-23 11:26:09
3e7be6e1-d29b-4444-ad1c-615575c2ec76,2026-03-27 17:37:47,NS-PAY-0000032,NS-CUST-000091,20440.15,2025-10-22,"[{""invoice_id"":""NS-INV-0000051"",""amount_applied"":20440.15}]",2025-11-24 11:10:42
93dae67f-22b2-4b0d-b0b2-486eda8c608a,2026-03-27 17:37:47,NS-PAY-0000033,NS-CUST-000091,32898.14,2026-02-03,"[{""invoice_id"":""NS-INV-0000052"",""amount_applied"":32898.14}]",2024-08-01 05:59:43
09c38f77-dedd-4485-851c-47817ae97cb5,2026-03-27 17:37:47,NS-PAY-0000034,NS-CUST-000093,71599.44,2025-05-09,"[{""invoice_id"":""NS-INV-0000053"",""amount_applied"":71599.44}]",2025-09-28 15:22:17
f75153d0-7caf-4d99-89b6-82fc7c012eae,2026-03-27 17:37:47,NS-PAY-0000035,NS-CUST-000094,23155.42,2026-08-08,"[{""invoice_id"":""NS-INV-0000054"",""amount_applied"":23155.42}]",2024-06-10 12:11:04
