_dataorbit_sync_id,_dataorbit_synced_at,id,project_id,user_id,is_active,hourly_rate,budget
26fe67e9-6cfe-460c-b9b0-78802ebdbc5a,2026-03-27 17:37:47,5000001,4000001,2000026,True,171.49,228.94
194e28b2-9821-47a3-a46c-693ff0bcddc5,2026-03-27 17:37:47,5000002,4000001,2000024,True,110.55,182.33
13225b31-d56b-47a2-a96e-a9140af9ee94,2026-03-27 17:37:47,5000003,4000001,2000043,True,138.0,259.44
256749eb-d5f5-43fc-8332-4f43e43f1f49,2026-03-27 17:37:47,5000004,4000001,2000023,True,222.69,191.63
e3f2df58-c010-4a52-ace9-b3b6fbf51cb2,2026-03-27 17:37:47,5000005,4000001,2000002,True,138.06,39.13
c119c551-4f2d-4788-bbfc-317448143966,2026-03-27 17:37:47,5000006,4000001,2000006,True,101.02,233.71
f29e5dd4-33a1-42ee-bd13-8e48fd547209,2026-03-27 17:37:47,5000007,4000002,2000061,True,153.06,119.35
18ab1808-cddb-4884-a799-2e73f0553ca0,2026-03-27 17:37:47,5000008,4000002,2000047,True,189.04,80.0
d4879461-9a5e-4d60-9151-9baefa48085a,2026-03-27 17:37:47,5000009,4000002,2000045,True,174.48,51.6
3d6f0198-e50a-47a3-9ccb-8609b158af7b,2026-03-27 17:37:47,5000010,4000002,2000038,True,95.96,54.61
21015d8f-7815-4c1c-84ce-fd77a670fe1d,2026-03-27 17:37:47,5000011,4000002,2000012,True,136.93,58.06
8e3a759c-4b59-4c85-b735-d39a0d681627,2026-03-27 17:37:47,5000012,4000002,2000029,True,113.27,217.32
aab70da2-fe7e-4656-b391-ccd4904da4b7,2026-03-27 17:37:47,5000013,4000002,2000044,True,201.32,31.37
43b4d557-ef41-4c12-88fc-fea7e4802a10,2026-03-27 17:37:47,5000014,4000002,2000007,True,155.42,52.4
ce8fc417-d95a-4d8f-9d9d-4f1228d1a7e4,2026-03-27 17:37:47,5000015,4000003,2000009,True,200.83,299.64
71658a42-6f6d-4a27-ac2e-f8e737f503f2,2026-03-27 17:37:47,5000016,4000003,2000061,True,162.71,49.45
